"iteration","null_r"
1,0.0161690507303185
2,-0.104650921135617
3,-0.0610932364921921
4,0.0346719654372863
5,-0.0404350309249248
6,0.244968539475879
7,-0.0247855714041001
8,0.187612676687115
9,0.14531708458746
10,0.0670047057595379
11,0.139911754794508
12,0.142879464261204
13,-0.128562843079511
14,-0.293179435120688
15,0.0424057127423359
16,-0.167315965380393
17,0.0330142991485971
18,-0.185185258665352
19,0.0982429729493669
20,0.045714363261582
21,0.07758083628743
22,-0.220813374628695
23,-0.0173159556205182
24,0.26165655140408
25,0.179930980541006
26,-0.105997048257418
27,-0.129889631629062
28,-0.239480271001796
29,0.037659115683959
30,0.016339287832346
31,-0.153062174839941
32,0.0982333432641159
33,0.0725506542560917
34,-0.219896201490193
35,-0.0808437888628121
36,0.00215845286324177
37,0.0380600755769789
38,-0.080516645148178
39,0.347709198502677
40,0.199799781608132
41,-0.0896186051452177
42,-0.0696823612562204
43,0.0351098705029104
44,0.0583317474416214
45,0.132740390578093
46,0.12532478748769
47,0.101745749195662
48,-0.159367219200483
49,0.132029498330098
50,0.345382115205229
51,0.0810674425567197
52,0.259435437952036
53,0.107684094673654
54,-0.076503500191781
55,0.215717394873291
56,-0.23328476209734
57,0.224131016233488
58,0.0596514107906991
59,0.0551087132094172
60,0.14225676181973
61,-0.0566334643032882
62,0.0873805025963447
63,0.350807285485977
64,-0.234658928587994
65,-0.255863426475265
66,0.190907140285234
67,-0.038912777795981
68,-0.104715793790853
69,0.102721019863216
70,-0.183659590616522
71,0.0535421152782715
72,0.0451155600015677
73,-0.0094021305473366
74,0.0239690793396842
75,-0.0811363603995705
76,-0.132096144324265
77,-0.00990212683555842
78,-0.0984059962142515
79,-0.0414189440263241
80,-0.212855130281518
81,-0.144371329266478
82,-0.123372954381608
83,0.0575400486381102
84,0.0857940498070471
85,-0.194330715367342
86,-0.0910804731044857
87,-0.0337615367675136
88,-0.246365832872839
89,0.0660024315827749
90,0.0261455004142792
91,0.00849652667179612
92,-0.0758598115443521
93,-0.0569144451418421
94,0.0273538698760569
95,-0.0175348621840573
96,0.17400170685208
97,-0.00723623269894494
98,0.261174024255867
99,-0.152485842448406
100,0.00854765913212873
101,0.0928131584008266
102,-0.0886313043245581
103,-0.208684387495353
104,0.159763514886782
105,0.203062347379212
106,-0.0736319656255318
107,0.0914389609440062
108,0.0489862264095224
109,-0.184622808512992
110,0.042100479008717
111,0.0669114860166208
112,0.184635984699167
113,0.0171150813610343
114,0.2527939499376
115,0.00395462361883649
116,0.219438974462143
117,-0.178683533108198
118,-0.071524888063748
119,-0.245176288065923
120,0.297283544184649
121,-0.187341748538398
122,0.0503845587437775
123,0.0782942984036184
124,-0.189107603183355
125,-0.192559284679818
126,0.140178213344792
127,0.109760058799413
128,0.17763720746891
129,-0.169373573376437
130,-0.254865066102339
131,-0.00615884783301669
132,0.16972989273671
133,-0.128098386692893
134,0.0231563670145425
135,-0.0719827917572694
136,-0.00114174343261275
137,-0.0461924106778496
138,-0.185297893981807
139,0.265225102516066
140,0.212970615651828
141,-0.134781055075698
142,-0.0156415628913913
143,0.170135324225578
144,0.0884295197446041
145,0.00448203224585284
146,0.364343921494859
147,-0.173806169002766
148,-0.0429115654219467
149,-0.081179434645561
150,0.00988310450219525
